cart_id,user_id,cart_state,total_price
1000005,1000005,1,0
1000006,1000006,1,0
1000008,1000008,1,0
1000012,1000012,1,0
1000014,1000014,1,0
1000025,1000025,1,0
1000027,1000027,1,0
1000028,1000028,1,0
1000035,1000035,1,0
1000038,1000038,1,0
1000039,1000039,1,0
1000042,1000042,1,0
1000045,1000045,1,0
1000053,1000053,1,0
1000057,1000057,1,0
1000058,1000058,1,0
1000063,1000063,1,0
1000064,1000064,1,0
1000067,1000067,1,0
1000068,1000068,1,0
1000069,1000069,1,0
1000075,1000075,1,0
1000076,1000076,1,0
1000079,1000079,1,0
1000080,1000080,1,0
1000085,1000085,1,0
1000086,1000086,1,0
1000092,1000092,1,0
1000098,1000098,1,0
1000102,1000102,1,0
1000105,1000105,1,0
1000107,1000107,1,0
1000112,1000112,1,0
1000115,1000115,1,0
1000119,1000119,1,0
1000125,1000125,1,0
1000129,1000129,1,0
1000132,1000132,1,0
1000135,1000135,1,0
1000147,1000147,1,0
1000148,1000148,1,0
1000151,1000151,1,0
1000152,1000152,1,0
1000154,1000154,1,0
1000156,1000156,1,0
1000157,1000157,1,0
1000160,1000160,1,0
1000161,1000161,1,0
1000163,1000163,1,0
1000171,1000171,1,0
1000172,1000172,1,0
1000178,1000178,1,0
1000180,1000180,1,0
1000183,1000183,1,0
1000185,1000185,1,0
1000186,1000186,1,0
1000187,1000187,1,0
1000188,1000188,1,0
1000189,1000189,1,0
1000194,1000194,1,0
1000198,1000198,1,0
1000201,1000201,1,0
1000203,1000203,1,0
1000204,1000204,1,0
1000206,1000206,1,0
1000212,1000212,1,0
1000213,1000213,1,0
1000217,1000217,1,0
1000219,1000219,1,0
1000221,1000221,1,0
1000225,1000225,1,0
1000226,1000226,1,0
1000227,1000227,1,0
1000231,1000231,1,0
1000242,1000242,1,0
1000244,1000244,1,0
1000249,1000249,1,0
1000250,1000250,1,0
1000251,1000251,1,0
1000253,1000253,1,0
1000257,1000257,1,0
1000260,1000260,1,0
1000264,1000264,1,0
1000271,1000271,1,0
1000272,1000272,1,0
1000273,1000273,1,0
1000274,1000274,1,0
1000276,1000276,1,0
1000279,1000279,1,0
1000280,1000280,1,0
1000286,1000286,1,0
1000287,1000287,1,0
1000291,1000291,1,0
1000292,1000292,1,0
1000294,1000294,1,0
1000302,1000302,1,0
1000304,1000304,1,0
1000305,1000305,1,0
1000306,1000306,1,0
1000307,1000307,1,0
1000310,1000310,1,0
1000314,1000314,1,0
1000320,1000320,1,0
1000321,1000321,1,0
1000322,1000322,1,0
1000327,1000327,1,0
1000328,1000328,1,0
1000331,1000331,1,0
1000334,1000334,1,0
1000338,1000338,1,0
1000340,1000340,1,0
1000341,1000341,1,0
1000344,1000344,1,0
1000350,1000350,1,0
1000353,1000353,1,0
1000354,1000354,1,0
1000358,1000358,1,0
1000366,1000366,1,0
1000367,1000367,1,0
1000373,1000373,1,0
1000382,1000382,1,0
1000385,1000385,1,0
1000387,1000387,1,0
1000388,1000388,1,0
1000391,1000391,1,0
1000397,1000397,1,0
1000398,1000398,1,0
1000399,1000399,1,0
1000402,1000402,1,0
1000405,1000405,1,0
1000406,1000406,1,0
1000408,1000408,1,0
1000409,1000409,1,0
1000413,1000413,1,0
1000417,1000417,1,0
1000419,1000419,1,0
1000422,1000422,1,0
1000428,1000428,1,0
1000432,1000432,1,0
1000437,1000437,1,0
1000438,1000438,1,0
1000439,1000439,1,0
1000442,1000442,1,0
1000444,1000444,1,0
1000445,1000445,1,0
1000446,1000446,1,0
1000448,1000448,1,0
1000451,1000451,1,0
1000454,1000454,1,0
1000458,1000458,1,0
1000461,1000461,1,0
1000464,1000464,1,0
1000468,1000468,1,0
1000472,1000472,1,0
1000475,1000475,1,0
1000478,1000478,1,0
1000481,1000481,1,0
1000482,1000482,1,0
1000483,1000483,1,0
1000486,1000486,1,0
1000492,1000492,1,0
1000503,1000503,1,0
1000505,1000505,1,0
1000509,1000509,1,0
1000510,1000510,1,0
1000511,1000511,1,0
1000514,1000514,1,0
1000516,1000516,1,0
1000519,1000519,1,0
1000521,1000521,1,0
1000526,1000526,1,0
1000534,1000534,1,0
1000535,1000535,1,0
1000536,1000536,1,0
1000537,1000537,1,0
1000543,1000543,1,0
1000545,1000545,1,0
1000549,1000549,1,0
1000553,1000553,1,0
1000560,1000560,1,0
1000567,1000567,1,0
1000569,1000569,1,0
1000570,1000570,1,0
1000571,1000571,1,0
1000573,1000573,1,0
1000575,1000575,1,0
1000587,1000587,1,0
1000593,1000593,1,0
1000596,1000596,1,0
1000607,1000607,1,0
1000608,1000608,1,0
1000610,1000610,1,0
1000614,1000614,1,0
1000615,1000615,1,0
1000617,1000617,1,0
1000621,1000621,1,0
1000627,1000627,1,0
1000629,1000629,1,0
1000630,1000630,1,0
1000632,1000632,1,0
1000633,1000633,1,0
1000635,1000635,1,0
1000638,1000638,1,0
1000640,1000640,1,0
1000641,1000641,1,0
1000643,1000643,1,0
1000644,1000644,1,0
1000646,1000646,1,0
1000647,1000647,1,0
1000650,1000650,1,0
1000651,1000651,1,0
1000654,1000654,1,0
1000658,1000658,1,0
1000660,1000660,1,0
1000663,1000663,1,0
1000666,1000666,1,0
1000667,1000667,1,0
1000669,1000669,1,0
1000672,1000672,1,0
1000673,1000673,1,0
1000674,1000674,1,0
1000675,1000675,1,0
1000683,1000683,1,0
1000696,1000696,1,0
1000698,1000698,1,0
1000702,1000702,1,0
1000705,1000705,1,0
1000706,1000706,1,0
1000711,1000711,1,0
1000713,1000713,1,0
1000714,1000714,1,0
1000723,1000723,1,0
1000726,1000726,1,0
1000734,1000734,1,0
1000735,1000735,1,0
1000738,1000738,1,0
1000740,1000740,1,0
1000744,1000744,1,0
1000748,1000748,1,0
1000749,1000749,1,0
1000751,1000751,1,0
1000753,1000753,1,0
1000754,1000754,1,0
1000756,1000756,1,0
1000758,1000758,1,0
1000761,1000761,1,0
1000763,1000763,1,0
1000765,1000765,1,0
1000774,1000774,1,0
1000776,1000776,1,0
1000778,1000778,1,0
1000782,1000782,1,0
1000787,1000787,1,0
1000796,1000796,1,0
1000799,1000799,1,0
1000802,1000802,1,0
1000804,1000804,1,0
1000805,1000805,1,0
1000813,1000813,1,0
1000815,1000815,1,0
1000820,1000820,1,0
1000821,1000821,1,0
1000828,1000828,1,0
1000832,1000832,1,0
1000833,1000833,1,0
1000838,1000838,1,0
1000843,1000843,1,0
1000853,1000853,1,0
1000854,1000854,1,0
1000858,1000858,1,0
1000859,1000859,1,0
1000860,1000860,1,0
1000871,1000871,1,0
1000875,1000875,1,0
1000876,1000876,1,0
1000877,1000877,1,0
1000879,1000879,1,0
1000885,1000885,1,0
1000886,1000886,1,0
1000887,1000887,1,0
1000888,1000888,1,0
1000891,1000891,1,0
1000892,1000892,1,0
1000894,1000894,1,0
1000901,1000901,1,0
1000902,1000902,1,0
1000905,1000905,1,0
1000906,1000906,1,0
1000910,1000910,1,0
1000914,1000914,1,0
1000915,1000915,1,0
1000917,1000917,1,0
1000919,1000919,1,0
1000922,1000922,1,0
1000926,1000926,1,0
1000927,1000927,1,0
1000930,1000930,1,0
1000932,1000932,1,0
1000935,1000935,1,0
1000940,1000940,1,0
1000943,1000943,1,0
1000956,1000956,1,0
1000957,1000957,1,0
1000962,1000962,1,0
1000963,1000963,1,0
1000964,1000964,1,0
1000967,1000967,1,0
1000968,1000968,1,0
1000970,1000970,1,0
1000971,1000971,1,0
1000973,1000973,1,0
1000979,1000979,1,0
1000990,1000990,1,0
1000992,1000992,1,0
1000998,1000998,1,0
1001001,1001001,1,0
1001003,1001003,1,0
1001004,1001004,1,0
1001005,1001005,1,0
1001006,1001006,1,0
1001008,1001008,1,0
1001009,1001009,1,0
