main_food_category_id,product_id
1000006,1000000
1000009,1000000
1000001,1000000
1000005,1000000
1000003,1000001
1000006,1000001
1000002,1000001
1000009,1000001
1000010,1000001
1000007,1000001
1000004,1000001
1000001,1000001
1000008,1000001
1000000,1000001
1000003,1000002
1000006,1000002
1000002,1000002
1000009,1000002
1000010,1000002
1000007,1000002
1000004,1000002
1000001,1000002
1000008,1000002
1000000,1000002
1000006,1000003
1000004,1000003
1000003,1000003
1000010,1000003
1000009,1000003
1000002,1000003
1000001,1000003
1000005,1000003
1000011,1000003
1000000,1000003
1000003,1000004
1000006,1000004
1000002,1000004
1000009,1000004
1000010,1000004
1000007,1000004
1000004,1000004
1000001,1000004
1000008,1000004
1000000,1000004
1000003,1000005
1000006,1000005
1000002,1000005
1000009,1000005
1000010,1000005
1000007,1000005
1000004,1000005
1000001,1000005
1000008,1000005
1000000,1000005
1000003,1000006
1000006,1000006
1000002,1000006
1000009,1000006
1000010,1000006
1000007,1000006
1000004,1000006
1000001,1000006
1000008,1000006
1000000,1000006
1000003,1000007
1000006,1000007
1000002,1000007
1000009,1000007
1000010,1000007
1000007,1000007
1000004,1000007
1000001,1000007
1000008,1000007
1000000,1000007
1000003,1000008
1000006,1000008
1000002,1000008
1000009,1000008
1000010,1000008
1000007,1000008
1000004,1000008
1000001,1000008
1000008,1000008
1000000,1000008
1000003,1000009
1000006,1000009
1000002,1000009
1000009,1000009
1000010,1000009
1000007,1000009
1000004,1000009
1000001,1000009
1000008,1000009
1000000,1000009
1000003,1000010
1000006,1000010
1000002,1000010
1000009,1000010
1000010,1000010
1000007,1000010
1000004,1000010
1000001,1000010
1000008,1000010
1000000,1000010
1000003,1000011
1000006,1000011
1000002,1000011
1000009,1000011
1000010,1000011
1000007,1000011
1000004,1000011
1000001,1000011
1000008,1000011
1000000,1000011
1000003,1000012
1000006,1000012
1000002,1000012
1000009,1000012
1000010,1000012
1000007,1000012
1000004,1000012
1000001,1000012
1000008,1000012
1000000,1000012
1000003,1000013
1000006,1000013
1000002,1000013
1000009,1000013
1000010,1000013
1000007,1000013
1000004,1000013
1000001,1000013
1000008,1000013
1000000,1000013
1000003,1000014
1000006,1000014
1000002,1000014
1000009,1000014
1000010,1000014
1000007,1000014
1000004,1000014
1000001,1000014
1000008,1000014
1000000,1000014
1000003,1000015
1000006,1000015
1000002,1000015
1000009,1000015
1000010,1000015
1000007,1000015
1000004,1000015
1000001,1000015
1000008,1000015
1000000,1000015
1000003,1000016
1000006,1000016
1000002,1000016
1000009,1000016
1000010,1000016
1000007,1000016
1000004,1000016
1000001,1000016
1000008,1000016
1000000,1000016
1000003,1000017
1000006,1000017
1000002,1000017
1000009,1000017
1000010,1000017
1000007,1000017
1000004,1000017
1000001,1000017
1000008,1000017
1000000,1000017
1000003,1000018
1000006,1000018
1000002,1000018
1000009,1000018
1000010,1000018
1000007,1000018
1000004,1000018
1000001,1000018
1000008,1000018
1000000,1000018
1000003,1000019
1000006,1000019
1000002,1000019
1000009,1000019
1000010,1000019
1000007,1000019
1000004,1000019
1000001,1000019
1000008,1000019
1000000,1000019
1000003,1000020
1000006,1000020
1000002,1000020
1000009,1000020
1000010,1000020
1000007,1000020
1000004,1000020
1000001,1000020
1000008,1000020
1000000,1000020
1000003,1000021
1000006,1000021
1000002,1000021
1000009,1000021
1000010,1000021
1000007,1000021
1000004,1000021
1000001,1000021
1000008,1000021
1000000,1000021
1000003,1000022
1000006,1000022
1000002,1000022
1000009,1000022
1000010,1000022
1000007,1000022
1000004,1000022
1000001,1000022
1000008,1000022
1000000,1000022
1000003,1000023
1000006,1000023
1000002,1000023
1000009,1000023
1000010,1000023
1000007,1000023
1000004,1000023
1000001,1000023
1000008,1000023
1000000,1000023
1000003,1000024
1000006,1000024
1000002,1000024
1000009,1000024
1000010,1000024
1000007,1000024
1000004,1000024
1000001,1000024
1000008,1000024
1000000,1000024
1000003,1000025
1000006,1000025
1000002,1000025
1000009,1000025
1000010,1000025
1000007,1000025
1000004,1000025
1000001,1000025
1000008,1000025
1000000,1000025
1000003,1000026
1000006,1000026
1000002,1000026
1000009,1000026
1000010,1000026
1000007,1000026
1000004,1000026
1000001,1000026
1000008,1000026
1000000,1000026
1000003,1000027
1000006,1000027
1000002,1000027
1000009,1000027
1000010,1000027
1000007,1000027
1000004,1000027
1000001,1000027
1000008,1000027
1000000,1000027
1000003,1000028
