provider_id,merchant_name,address,road,ward_id,district_id,city_id,description,keyword,hotline,tax_code,price_range,avatar,cover_picture,facade_photo,latitude,longitude,estimated_cooking_time,status,erc,rush_hour,order_totals,user_id,owner_id,current_form,registered_at,update_at,delete_at
1000047,McDonald's (675 Upper James Street),135,Hai Bà Trưng,1,2,3,,abc,0123456789,9876543210,1.59-3.69,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC8yZTE0OTk1Yy05ZThiLTQzMDUtOTJhYi1hMGE4Njg0N2UzNjAuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.783556,106.6972911,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000002,1000000,5,2018-11-21 15:53:12,2018-11-21 15:53:12,
1000033,HAMBRGR Downtown,5,Hồ Hảo Hớn,1,2,3,You've found one of the hottest delivery spots in Hamilton on Uber Eats. Wondering what's recommended here? The Biggie Mac is one of the most popular items among the 80 things on the menu and the Canned Pop and the Classic Burger are two of the items most commonly ordered together at this evening go-to.,abc,0123456789,9876543210,9.0-16.0,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC9jZjlmMjdlYS1hZTNhLTQ0YjgtYmI4NS02MGJmY2IxZGZlNWQuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.761141,106.692492,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000004,1000001,5,2019-04-18 09:22:33,2019-04-18 09:22:33,
1000061,Popeyes Louisiana Kitchen (11 King St E),45,Công Trường Mê Linh,1,2,3,,abc,0123456789,9876543210,3.79-14.49,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC9mMzhhM2ZhZC02NTlhLTQxYTEtYWY2NS1mZjUzN2ZiNWQxZmEuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7757667,106.7066375,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000015,1000002,5,2021-11-01 05:56:59,2021-11-01 05:56:59,
1000102,Wendy's (244 Hwy 20 South),163,Phan Tôn,1,2,3,"Wish you could ask someone what's best here? Of the 80 items on the menu at this midday go-to, the Spicy Chicken Sandwich Combo is one of the items that gets the most orders.",abc,0123456789,9876543210,2.74-9.89,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC9kMGVkMmVkYi1hMDdhLTQwNjMtOGQ1ZS1iOGM3YjEzMWI3ZTguanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7904768,106.6955081,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000017,1000003,5,2018-10-15 12:22:05,2018-10-15 12:22:05,
1000094,The Ship,50,Calmette,1,2,3,,abc,0123456789,9876543210,9.0-18.0,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC83ZWZhOGI5Yi1hYTcwLTRlYzUtYTM3MC00NWI2Y2VmNDUxMWEuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7698551,106.69775,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000018,1000004,5,2019-01-31 07:19:31,2019-01-31 07:19:31,
1000036,HEAL Wellness,102,Trịnh Văn Cấn,1,2,3,,abc,0123456789,9876543210,10.0-15.0,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC8zNjNmNGE4OS04ZTUzLTQxMjUtYWIyNC0zNzUyYzMyMzc0OWIuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7670444,106.6959095,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000019,1000005,5,2021-08-22 14:11:56,2021-08-22 14:11:56,
1000012,Booster Juice (King St. W),227,Nguyễn Trung Ngạn,1,2,3,,abc,0123456789,9876543210,5.6-8.46,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC8wOGI2ODM1Ni02NmEwLTQxYjYtYmVkOC0yZTBmYjhjNjhkZTIuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7842457,106.7057671,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000020,1000006,5,2022-01-01 01:49:24,2022-01-01 01:49:24,
1000031,Green Bar (James St),208,Lê Duẩn,1,2,3,"You might be wondering what's popular here at this midday go-to. Of the 100 items on the menu, the Super Og Bowl is one of the things that gets the most orders.",abc,0123456789,9876543210,4.65-9.95,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kdXl0NGg5bmZuajUwLmNsb3VkZnJvbnQubmV0L3Jlc2l6ZWQvMGIzYTllZmMxZjU1MjJhY2IyYjI3YWQxOGQ4YzcxZmQtdzU1MC02NS5qcGc=,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7863911,106.7042083,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000021,1000007,5,2020-03-19 13:50:56,2020-03-19 13:50:56,
1000028,Freshii (2 King St W #100),12,Phan Liêm,1,2,3,"Wondering what's best here at this midday go-to? Of the 110 things on the menu, the Peanut Butter Energii Bites is one of the items that gets the most orders.",abc,0123456789,9876543210,4.79-11.39,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC9lMTUwYzg1Mi0wZWU5LTQzM2QtYWYzOC0xZjcyYjdjODlhNjYuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7887335,106.6959277,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000022,1000008,5,2020-06-05 16:17:20,2020-06-05 16:17:20,
1000027,Fresh Hamilton,156,Mạc Đĩnh Chi,1,2,3,,abc,0123456789,9876543210,4.0-16.25,https://cn-geo1.uber.com/image-proc/resize/eats/format=webp/width=550/height=440/quality=70/srcb64=aHR0cHM6Ly9kMXJhbHNvZ25qbmczNy5jbG91ZGZyb250Lm5ldC8zN2Y0YmJhYy0xZjUxLTQxZTgtODhlZS04Yjk4Mjk5ZTY4NTkuanBlZw==,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDbdE3wNH9nQqdx7FDXPgKBYDkCka871-Jpw&usqp=CAU,https://frameru.com/wp-content/uploads/2021/06/Restaurant-facade-logo-mockup.jpg,10.7864515,106.6976719,30,1,https://media-cdn.tripadvisor.com/media/photo-s/13/e5/43/22/fb-img-1532845074912.jpg,03:45:12,500,1000024,1000009,5,2020-10-27 19:32:08,2020-10-27 19:32:08,
