menu_id,product_id
1000416,1000000
1000663,1000000
1000293,1000000
1000000,1000001
1000714,1000002
1000571,1000003
1000714,1000004
1000000,1000005
1000605,1000006
1000714,1000007
1000712,1000008
1000605,1000009
1000605,1000010
1000000,1000011
1000714,1000012
1000001,1000013
1000605,1000014
1000605,1000015
1000714,1000016
1000131,1000017
1000002,1000018
1000714,1000019
1000605,1000020
1000605,1000021
1000712,1000022
1000605,1000023
1000605,1000024
1000000,1000025
1000008,1000026
1000712,1000027
1000000,1000028
1000002,1000029
1000616,1000030
1000460,1000031
1000386,1000032
1000566,1000033
1000566,1000034
1000595,1000035
1000595,1000036
1000386,1000037
1000711,1000038
1000711,1000039
1000711,1000040
1000386,1000041
1000711,1000042
1000711,1000043
1000711,1000044
1000484,1000045
1000484,1000046
1000484,1000047
1000484,1000048
1000484,1000049
1000484,1000050
1000460,1000051
1000571,1000051
1000571,1000052
1000571,1000053
1000571,1000054
1000571,1000055
1000571,1000056
1000571,1000057
1000571,1000058
1000571,1000059
1000205,1000060
1000205,1000061
1000205,1000062
1000205,1000063
1000205,1000064
1000205,1000065
1000386,1000066
1000386,1000067
1000386,1000068
1000571,1000069
1000038,1000070
1000363,1000071
1000434,1000072
1000026,1000073
1000026,1000074
1000026,1000075
1000026,1000076
1000434,1000077
1000079,1000078
1000434,1000079
1000205,1000080
1000460,1000081
1000271,1000081
1000434,1000083
1000434,1000084
1000434,1000085
1000230,1000086
1000168,1000087
1000168,1000088
1000490,1000089
1000527,1000090
1000527,1000091
1000547,1000092
1000128,1000093
1000700,1000094
1000295,1000095
1000009,1000095
1000295,1000096
1000009,1000096
1000299,1000097
1000218,1000099
1000218,1000100
1000429,1000101
1000429,1000102
1000460,1000103
1000438,1000103
1000422,1000104
1000460,1000105
1000438,1000105
1000422,1000106
1000422,1000107
1000438,1000108
1000438,1000109
1000422,1000110
1000422,1000111
1000438,1000112
1000438,1000113
1000422,1000114
1000422,1000115
1000438,1000116
1000438,1000117
1000422,1000118
1000422,1000119
1000438,1000120
1000128,1000121
1000438,1000122
1000422,1000123
1000309,1000124
1000460,1000125
1000309,1000125
1000309,1000126
1000309,1000127
1000309,1000128
1000309,1000129
1000309,1000130
1000309,1000131
1000422,1000132
1000438,1000133
1000309,1000134
1000309,1000135
1000438,1000136
1000438,1000137
1000438,1000138
1000438,1000139
1000438,1000140
1000438,1000141
1000558,1000142
1000199,1000143
1000199,1000144
1000044,1000145
1000044,1000146
1000438,1000147
1000562,1000148
1000562,1000149
1000562,1000150
1000562,1000151
1000562,1000152
1000562,1000153
1000562,1000154
1000562,1000155
1000438,1000156
1000562,1000157
1000562,1000158
1000438,1000159
1000438,1000160
1000438,1000161
1000438,1000162
1000438,1000163
1000438,1000164
1000411,1000165
1000411,1000166
1000411,1000167
1000499,1000168
1000499,1000169
1000499,1000170
1000438,1000171
1000579,1000172
1000438,1000173
1000438,1000174
1000438,1000175
1000438,1000176
1000438,1000177
1000438,1000178
1000438,1000179
1000438,1000180
1000434,1000181
1000434,1000182
1000496,1000183
1000460,1000184
1000496,1000184
1000460,1000185
1000496,1000185
1000496,1000186
1000438,1000187
1000438,1000188
1000128,1000189
1000480,1000190
1000570,1000191
1000570,1000192
1000570,1000193
1000570,1000194
1000570,1000195
1000570,1000196
1000570,1000197
1000570,1000198
1000480,1000199
1000480,1000200
1000480,1000201
1000029,1000202
1000029,1000203
1000029,1000204
1000029,1000205
1000029,1000206
1000029,1000207
1000130,1000208
1000129,1000209
1000130,1000210
1000129,1000211
1000460,1000212
1000034,1000212
1000460,1000213
1000034,1000213
1000034,1000214
1000034,1000215
1000034,1000216
1000034,1000217
1000034,1000218
1000034,1000219
1000034,1000220
1000034,1000221
1000034,1000222
1000034,1000223
1000065,1000224
1000065,1000225
1000065,1000226
1000036,1000227
1000036,1000228
1000036,1000229
1000036,1000230
1000036,1000231
1000036,1000232
1000036,1000233
1000036,1000234
1000036,1000235
1000036,1000236
1000036,1000237
1000035,1000238
1000035,1000239
1000434,1000240
1000044,1000241
1000044,1000242
1000149,1000243
1000594,1000244
1000079,1000245
1000343,1000246
1000174,1000247
1000088,1000248
1000661,1000249
1000045,1000250
1000386,1000251
1000019,1000252
1000044,1000253
1000044,1000254
1000088,1000255
1000044,1000256
1000434,1000259
1000163,1000260
1000460,1000261
1000198,1000261
1000523,1000262
1000650,1000263
1000520,1000264
1000650,1000265
1000520,1000266
1000520,1000267
1000650,1000268
1000650,1000269
1000656,1000270
1000656,1000271
1000656,1000272
1000656,1000273
1000656,1000274
1000650,1000275
1000598,1000276
1000598,1000277
1000598,1000278
1000598,1000279
1000656,1000280
1000598,1000281
1000598,1000282
1000598,1000283
1000656,1000284
1000656,1000285
1000411,1000286
1000411,1000287
1000411,1000288
1000523,1000289
1000686,1000290
1000686,1000291
1000148,1000292
1000061,1000293
1000474,1000294
1000594,1000295
1000395,1000296
1000460,1000297
1000025,1000297
1000025,1000298
1000025,1000299
1000025,1000300
1000025,1000301
1000460,1000302
1000025,1000302
1000025,1000303
1000025,1000304
1000025,1000305
1000025,1000306
1000537,1000307
1000537,1000308
1000148,1000309
1000631,1000310
1000174,1000311
1000469,1000312
1000523,1000313
1000686,1000314
1000614,1000315
1000686,1000316
1000460,1000317
1000614,1000317
1000686,1000318
1000614,1000319
1000614,1000320
1000686,1000321
1000460,1000322
1000614,1000322
1000686,1000323
1000614,1000324
1000686,1000325
1000686,1000326
1000686,1000327
1000686,1000328
1000686,1000329
1000516,1000330
1000460,1000331
1000353,1000332
1000268,1000333
1000018,1000334
1000434,1000335
1000403,1000336
1000322,1000337
1000460,1000338
1000128,1000338
1000174,1000339
1000053,1000340
1000053,1000341
1000218,1000342
1000218,1000343
1000053,1000343
1000316,1000343
1000698,1000343
1000157,1000343
1000575,1000344
1000104,1000345
1000104,1000346
1000104,1000347
1000104,1000348
1000104,1000349
1000516,1000350
1000516,1000351
1000516,1000352
1000579,1000353
1000579,1000354
1000579,1000355
1000579,1000356
1000597,1000357
1000597,1000358
1000132,1000359
1000132,1000360
1000052,1000361
1000052,1000362
1000052,1000363
1000052,1000364
1000506,1000365
1000506,1000366
1000526,1000367
1000526,1000368
1000242,1000369
1000242,1000370
1000597,1000371
1000597,1000372
1000597,1000373
1000597,1000374
1000242,1000375
1000273,1000376
1000460,1000377
1000273,1000377
1000460,1000378
1000273,1000378
1000052,1000379
1000132,1000380
1000052,1000381
1000132,1000382
1000274,1000383
1000274,1000384
1000274,1000385
1000274,1000386
1000274,1000387
1000274,1000388
1000274,1000389
1000274,1000390
1000273,1000391
1000273,1000392
1000273,1000393
1000132,1000394
1000132,1000395
1000526,1000396
1000526,1000397
1000526,1000398
1000526,1000399
1000526,1000400
1000526,1000401
1000526,1000402
1000526,1000403
1000597,1000404
1000597,1000405
1000526,1000406
1000526,1000407
1000526,1000408
1000526,1000409
1000597,1000410
1000242,1000411
1000132,1000412
1000132,1000413
1000132,1000414
1000132,1000415
1000132,1000416
1000052,1000417
1000052,1000418
1000052,1000419
1000052,1000420
1000597,1000421
1000597,1000422
1000597,1000423
1000597,1000424
1000597,1000425
1000132,1000426
1000052,1000427
1000052,1000428
1000273,1000429
1000273,1000430
1000273,1000431
1000273,1000432
1000273,1000433
1000273,1000434
1000273,1000435
1000273,1000436
1000273,1000437
1000273,1000438
1000273,1000439
1000273,1000440
1000273,1000441
1000273,1000442
1000273,1000443
1000273,1000444
1000301,1000445
1000108,1000446
1000227,1000447
1000700,1000448
1000700,1000449
1000533,1000450
1000533,1000451
1000533,1000452
1000460,1000453
1000469,1000453
1000398,1000453
1000523,1000454
1000032,1000455
1000032,1000456
1000666,1000457
1000666,1000458
1000032,1000459
1000032,1000460
1000666,1000461
1000032,1000462
1000666,1000463
1000032,1000464
1000666,1000465
1000032,1000466
1000032,1000467
1000666,1000468
1000032,1000469
1000666,1000470
1000032,1000471
1000032,1000472
1000032,1000473
1000460,1000474
1000666,1000474
1000032,1000475
1000460,1000476
1000666,1000476
1000452,1000477
1000032,1000478
1000452,1000479
1000452,1000480
1000032,1000481
1000032,1000482
1000032,1000483
1000460,1000484
1000128,1000484
1000516,1000485
1000516,1000486
1000460,1000487
1000184,1000487
1000044,1000488
1000044,1000489
1000558,1000490
1000395,1000491
1000184,1000492
1000205,1000493
1000608,1000494
1000460,1000495
1000184,1000495
1000044,1000496
1000044,1000497
1000460,1000498
1000524,1000498
1000053,1000499
1000053,1000500
1000053,1000501
1000053,1000502
1000053,1000503
1000053,1000504
1000053,1000506
1000053,1000507
1000053,1000508
1000053,1000509
1000053,1000510
1000316,1000511
1000316,1000512
1000031,1000513
1000044,1000514
1000044,1000515
1000184,1000516
1000053,1000517
1000053,1000518
1000053,1000519
1000316,1000520
1000053,1000521
1000105,1000522
1000105,1000523
1000105,1000524
1000105,1000525
1000105,1000526
1000105,1000527
1000105,1000528
