product_id,label,value,option_description,is_required,price
1000000,,,,1,0
1000001,,,,1,0
1000002,,,,1,0
1000003,,,,1,0
1000004,,,,1,0
1000005,,,,1,0
1000006,,,,1,0
1000007,,,,1,0
1000008,,,,1,0
1000009,,,,1,0
1000010,,,,1,0
1000011,,,,1,0
1000012,,,,1,0
1000013,,,,1,0
1000014,,,,1,0
1000015,,,,1,0
1000016,,,,1,0
1000017,,,,1,0
1000018,,,,1,0
1000019,,,,1,0
1000020,,,,1,0
1000021,,,,1,0
1000022,,,,1,0
1000023,,,,1,0
1000024,,,,1,0
1000025,,,,1,0
1000026,,,,1,0
1000027,,,,1,0
1000028,,,,1,0
1000029,,,,1,0
1000030,,,,1,0
1000031,,,,1,0
1000032,,,,1,0
1000033,,,,1,0
1000034,,,,1,0
1000035,,,,1,0
1000036,,,,1,0
1000037,,,,1,0
1000038,,,,1,0
1000039,,,,1,0
1000040,,,,1,0
1000041,,,,1,0
1000042,,,,1,0
1000043,,,,1,0
1000044,,,,1,0
1000045,,,,1,0
1000046,,,,1,0
1000047,,,,1,0
1000048,,,,1,0
1000049,,,,1,0
1000050,,,,1,0
1000051,,,,1,0
1000052,,,,1,0
1000053,,,,1,0
1000054,,,,1,0
1000055,,,,1,0
1000056,,,,1,0
1000057,,,,1,0
1000058,,,,1,0
1000059,,,,1,0
1000060,,,,1,0
1000061,,,,1,0
1000062,,,,1,0
1000063,,,,1,0
1000064,,,,1,0
1000065,,,,1,0
1000066,,,,1,0
1000067,,,,1,0
1000068,,,,1,0
1000069,,,,1,0
1000070,,,,1,0
1000071,,,,1,0
1000072,,,,1,0
1000073,,,,1,0
1000074,,,,1,0
1000075,,,,1,0
1000076,,,,1,0
1000077,,,,1,0
1000078,,,,1,0
1000079,,,,1,0
1000080,,,,1,0
1000081,,,,1,0
1000083,,,,1,0
1000084,,,,1,0
1000085,,,,1,0
1000086,,,,1,0
1000087,,,,1,0
1000088,,,,1,0
1000089,,,,1,0
1000090,,,,1,0
1000091,,,,1,0
1000092,,,,1,0
1000093,,,,1,0
1000094,,,,1,0
1000095,,,,1,0
